ID,RIVER,LOCATION,ERECTED,PURPOSE,LENGTH,LANES,CLEAR-G,T-OR-D,MATERIAL,SPAN,REL-L,TYPE
E1,M,3.0,1818,HIGHWAY,,2.0,N,THROUGH,WOOD,SHORT,S,WOOD
E2,A,25.0,1819,HIGHWAY,1037.0,2.0,N,THROUGH,WOOD,SHORT,S,WOOD
E3,A,39.0,1829,AQUEDUCT,,1.0,N,THROUGH,WOOD,,S,WOOD
E5,A,29.0,1837,HIGHWAY,1000.0,2.0,N,THROUGH,WOOD,SHORT,S,WOOD
E6,M,23.0,1838,HIGHWAY,,2.0,N,THROUGH,WOOD,,S,WOOD
E7,A,27.0,1840,HIGHWAY,990.0,2.0,N,THROUGH,WOOD,MEDIUM,S,WOOD
E8,A,28.0,1844,AQUEDUCT,1000.0,1.0,N,THROUGH,IRON,SHORT,S,SUSPEN
E9,M,3.0,1846,HIGHWAY,1500.0,2.0,N,THROUGH,IRON,SHORT,S,SUSPEN
E10,A,39.0,1848,AQUEDUCT,,1.0,N,DECK,WOOD,,S,WOOD
E11,A,29.0,1851,HIGHWAY,1000.0,2.0,N,THROUGH,WOOD,MEDIUM,S,WOOD
E12,A,39.0,1853,RR,,2.0,N,DECK,WOOD,,S,WOOD
E14,M,6.0,1856,HIGHWAY,1200.0,2.0,N,THROUGH,WOOD,MEDIUM,S,WOOD
E13,A,33.0,1856,HIGHWAY,,2.0,N,THROUGH,WOOD,,S,WOOD
E15,A,28.0,1857,RR,,2.0,N,THROUGH,WOOD,,S,WOOD
E16,A,25.0,1859,HIGHWAY,1030.0,2.0,N,THROUGH,IRON,MEDIUM,S-F,SUSPEN
E17,M,4.0,1863,RR,1000.0,2.0,N,THROUGH,IRON,MEDIUM,,SIMPLE-T
E18,A,28.0,1864,RR,1200.0,2.0,N,THROUGH,IRON,SHORT,S,SIMPLE-T
E19,A,29.0,1866,HIGHWAY,1000.0,2.0,N,THROUGH,WOOD,MEDIUM,S,WOOD
E20,A,32.0,1870,HIGHWAY,1000.0,2.0,N,THROUGH,WOOD,MEDIUM,S,WOOD
E21,M,16.0,1874,RR,,2.0,,THROUGH,IRON,,,SIMPLE-T
E23,M,1.0,1876,HIGHWAY,1245.0,,,THROUGH,STEEL,LONG,F,SUSPEN
E22,A,24.0,1876,HIGHWAY,1200.0,4.0,G,THROUGH,WOOD,SHORT,S,WOOD
E24,O,45.0,1878,RR,,2.0,G,,STEEL,,,SIMPLE-T
E25,M,10.0,1882,RR,,2.0,G,,STEEL,,,SIMPLE-T
E27,A,39.0,1883,RR,,2.0,G,THROUGH,STEEL,,F,SIMPLE-T
E26,M,12.0,1883,RR,1150.0,2.0,G,THROUGH,STEEL,MEDIUM,S,SIMPLE-T
E30,A,31.0,1884,RR,,2.0,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
E29,A,26.0,1884,HIGHWAY,1080.0,2.0,G,THROUGH,STEEL,MEDIUM,,SUSPEN
E28,M,3.0,1884,HIGHWAY,1000.0,2.0,G,THROUGH,STEEL,MEDIUM,S,ARCH
E32,A,30.0,1887,HIGHWAY,,2.0,G,THROUGH,IRON,MEDIUM,F,SIMPLE-T
E31,M,8.0,1887,RR,1161.0,2.0,G,THROUGH,STEEL,MEDIUM,S,SIMPLE-T
