rental_id,inventory_id,customer_id,staff_id,film_id,store_id,rental_date,return_date,title,description,release_year,rental_rate,category_name
361,6,587,1,1,2,2005-05-27 07:03:28.000,2005-05-31 08:01:28.000,ACADEMY DINOSAUR,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,2006,0.99,Documentary
14624,4,344,1,1,1,2005-08-21 18:32:42.000,2005-08-23 21:09:42.000,ACADEMY DINOSAUR,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,2006,0.99,Documentary
10883,4,301,1,1,1,2005-08-02 00:47:19.000,2005-08-03 00:02:19.000,ACADEMY DINOSAUR,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,2006,0.99,Documentary
12651,8,34,1,1,2,2005-08-18 18:36:16.000,2005-08-22 22:01:16.000,ACADEMY DINOSAUR,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,2006,0.99,Documentary
10141,8,8,1,1,2,2005-07-31 22:08:29.000,2005-08-06 16:59:29.000,ACADEMY DINOSAUR,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,2006,0.99,Documentary
15421,3,541,2,1,1,2005-08-22 23:56:37.000,2005-08-25 18:58:37.000,ACADEMY DINOSAUR,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,2006,0.99,Documentary
3201,6,597,1,1,2,2005-06-21 00:30:26.000,2005-06-28 03:42:26.000,ACADEMY DINOSAUR,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,2006,0.99,Documentary
10126,3,39,1,1,1,2005-07-31 21:36:07.000,2005-08-03 23:59:07.000,ACADEMY DINOSAUR,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,2006,0.99,Documentary
14714,1,279,1,1,1,2005-08-21 21:27:43.000,2005-08-30 22:26:43.000,ACADEMY DINOSAUR,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,2006,0.99,Documentary
11433,1,518,1,1,1,2005-08-02 20:13:10.000,2005-08-11 21:35:10.000,ACADEMY DINOSAUR,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,2006,0.99,Documentary
4863,1,431,2,1,1,2005-07-08 19:03:15.000,2005-07-11 21:29:15.000,ACADEMY DINOSAUR,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,2006,0.99,Documentary
14798,7,92,2,1,2,2005-08-22 00:44:08.000,2005-08-27 02:18:08.000,ACADEMY DINOSAUR,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,2006,0.99,Documentary
5766,7,406,1,1,2,2005-07-10 13:07:31.000,2005-07-16 13:03:31.000,ACADEMY DINOSAUR,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,2006,0.99,Documentary
8510,7,487,2,1,2,2005-07-29 09:41:38.000,2005-08-05 05:30:38.000,ACADEMY DINOSAUR,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,2006,0.99,Documentary
4187,2,161,1,1,1,2005-07-07 10:41:31.000,2005-07-11 06:25:31.000,ACADEMY DINOSAUR,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,2006,0.99,Documentary
4390,6,44,2,1,2,2005-07-07 20:59:06.000,2005-07-09 00:04:06.000,ACADEMY DINOSAUR,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,2006,0.99,Documentary
7168,6,252,2,1,2,2005-07-27 07:51:11.000,2005-08-01 04:08:11.000,ACADEMY DINOSAUR,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,2006,0.99,Documentary
1210,7,345,2,1,2,2005-06-15 02:57:51.000,2005-06-20 01:41:51.000,ACADEMY DINOSAUR,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,2006,0.99,Documentary
15453,2,359,1,1,1,2005-08-23 01:01:01.000,2005-08-30 20:08:01.000,ACADEMY DINOSAUR,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,2006,0.99,Documentary
9449,2,581,1,1,1,2005-07-30 22:02:34.000,2005-08-06 02:09:34.000,ACADEMY DINOSAUR,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,2006,0.99,Documentary
14098,6,554,2,1,2,2005-08-21 00:30:32.000,,ACADEMY DINOSAUR,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,2006,0.99,Documentary
972,2,411,1,1,1,2005-05-30 20:21:07.000,2005-06-06 00:36:07.000,ACADEMY DINOSAUR,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,2006,0.99,Documentary
2117,2,170,2,1,1,2005-06-17 20:24:00.000,2005-06-23 17:45:00.000,ACADEMY DINOSAUR,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,2006,0.99,Documentary
10992,11,180,1,2,2,2005-08-02 04:41:17.000,2005-08-09 02:13:17.000,ACE GOLDFINGER,A Astounding Epistle of a Database Administrator And a Explorer who must Find a Car in Ancient China,2006,4.99,Horror
13421,9,366,1,2,2,2006-02-14 15:16:03.000,,ACE GOLDFINGER,A Astounding Epistle of a Database Administrator And a Explorer who must Find a Car in Ancient China,2006,4.99,Horror
10310,9,271,2,2,2,2005-08-01 04:24:47.000,2005-08-04 05:36:47.000,ACE GOLDFINGER,A Astounding Epistle of a Database Administrator And a Explorer who must Find a Car in Ancient China,2006,4.99,Horror
15218,10,139,1,2,2,2005-08-22 16:59:05.000,2005-08-30 17:01:05.000,ACE GOLDFINGER,A Astounding Epistle of a Database Administrator And a Explorer who must Find a Car in Ancient China,2006,4.99,Horror
7733,10,82,2,2,2,2005-07-28 05:04:47.000,2005-08-05 05:12:47.000,ACE GOLDFINGER,A Astounding Epistle of a Database Administrator And a Explorer who must Find a Car in Ancient China,2006,4.99,Horror
11758,11,533,2,2,2,2005-08-17 09:33:02.000,2005-08-24 05:03:02.000,ACE GOLDFINGER,A Astounding Epistle of a Database Administrator And a Explorer who must Find a Car in Ancient China,2006,4.99,Horror
4364,10,145,1,2,2,2005-07-07 19:46:51.000,2005-07-08 21:55:51.000,ACE GOLDFINGER,A Astounding Epistle of a Database Administrator And a Explorer who must Find a Car in Ancient China,2006,4.99,Horror
3956,15,147,2,3,2,2005-07-06 22:01:51.000,2005-07-12 21:35:51.000,ADAPTATION HOLES,A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory,2006,2.99,Documentary
1033,14,25,1,3,2,2005-05-31 04:50:07.000,2005-06-02 01:53:07.000,ADAPTATION HOLES,A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory,2006,2.99,Documentary
11306,13,247,2,3,2,2005-08-02 15:45:10.000,2005-08-03 21:14:10.000,ADAPTATION HOLES,A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory,2006,2.99,Documentary
15788,13,269,1,3,2,2005-08-23 13:54:39.000,2005-08-26 10:17:39.000,ADAPTATION HOLES,A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory,2006,2.99,Documentary
12727,15,178,1,3,2,2005-08-18 21:45:15.000,2005-08-24 15:52:15.000,ADAPTATION HOLES,A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory,2006,2.99,Documentary
1427,14,100,1,3,2,2005-06-15 18:17:28.000,2005-06-16 15:47:28.000,ADAPTATION HOLES,A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory,2006,2.99,Documentary
3897,14,277,2,3,2,2005-07-06 19:11:43.000,2005-07-11 21:50:43.000,ADAPTATION HOLES,A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory,2006,2.99,Documentary
10437,14,1,1,3,2,2005-08-01 08:51:04.000,2005-08-10 12:12:04.000,ADAPTATION HOLES,A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory,2006,2.99,Documentary
11845,14,65,1,3,2,2005-08-17 13:16:38.000,2005-08-18 11:21:38.000,ADAPTATION HOLES,A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory,2006,2.99,Documentary
7586,15,316,1,3,2,2005-07-27 23:19:29.000,2005-07-29 23:04:29.000,ADAPTATION HOLES,A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory,2006,2.99,Documentary
14882,12,417,2,3,2,2005-08-22 03:52:21.000,2005-08-25 04:50:21.000,ADAPTATION HOLES,A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory,2006,2.99,Documentary
6999,12,224,2,3,2,2005-07-27 01:21:19.000,2005-07-29 20:33:19.000,ADAPTATION HOLES,A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory,2006,2.99,Documentary
12726,20,397,2,4,2,2005-08-18 21:44:46.000,2005-08-19 21:58:46.000,AFFAIR PREJUDICE,A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank,2006,2.99,Horror
6493,16,184,1,4,1,2005-07-12 02:40:41.000,2005-07-16 04:56:41.000,AFFAIR PREJUDICE,A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank,2006,2.99,Horror
9359,21,501,1,4,2,2005-07-30 18:39:28.000,2005-07-31 15:39:28.000,AFFAIR PREJUDICE,A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank,2006,2.99,Horror
6348,21,66,2,4,2,2005-07-11 20:21:18.000,2005-07-19 15:56:18.000,AFFAIR PREJUDICE,A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank,2006,2.99,Horror
13943,22,464,1,4,2,2005-08-20 17:31:18.000,2005-08-24 11:33:18.000,AFFAIR PREJUDICE,A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank,2006,2.99,Horror
8002,22,449,2,4,2,2005-07-28 15:11:00.000,2005-07-31 15:46:00.000,AFFAIR PREJUDICE,A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank,2006,2.99,Horror
4802,22,562,1,4,2,2005-07-08 16:55:17.000,2005-07-15 19:34:17.000,AFFAIR PREJUDICE,A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank,2006,2.99,Horror
15174,19,111,2,4,1,2005-08-22 15:26:36.000,2005-08-31 10:47:36.000,AFFAIR PREJUDICE,A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank,2006,2.99,Horror
9863,19,239,1,4,1,2005-07-31 13:05:29.000,2005-08-08 12:33:29.000,AFFAIR PREJUDICE,A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank,2006,2.99,Horror
3506,19,459,1,4,1,2005-07-06 00:22:29.000,2005-07-07 22:15:29.000,AFFAIR PREJUDICE,A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank,2006,2.99,Horror
11714,17,151,1,4,1,2005-08-17 07:34:55.000,2005-08-18 04:07:55.000,AFFAIR PREJUDICE,A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank,2006,2.99,Horror
6970,17,418,2,4,1,2005-07-27 00:26:14.000,2005-08-03 20:00:14.000,AFFAIR PREJUDICE,A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank,2006,2.99,Horror
5682,17,302,2,4,1,2005-07-10 08:51:39.000,2005-07-12 14:44:39.000,AFFAIR PREJUDICE,A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank,2006,2.99,Horror
2090,17,197,1,4,1,2005-06-17 18:06:14.000,2005-06-22 23:52:14.000,AFFAIR PREJUDICE,A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank,2006,2.99,Horror
995,17,150,2,4,1,2005-05-31 00:06:02.000,2005-06-06 02:30:02.000,AFFAIR PREJUDICE,A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank,2006,2.99,Horror
4789,20,73,2,4,2,2005-07-08 16:22:01.000,2005-07-15 18:29:01.000,AFFAIR PREJUDICE,A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank,2006,2.99,Horror
1716,20,24,1,4,2,2005-06-16 14:39:31.000,2005-06-19 15:37:31.000,AFFAIR PREJUDICE,A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank,2006,2.99,Horror
465,20,261,1,4,2,2005-05-27 20:44:36.000,2005-06-02 02:43:36.000,AFFAIR PREJUDICE,A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank,2006,2.99,Horror
8931,16,268,2,4,1,2005-07-30 02:30:07.000,2005-08-02 08:24:07.000,AFFAIR PREJUDICE,A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank,2006,2.99,Horror
15352,16,560,2,4,1,2005-08-22 21:16:54.000,2005-08-31 00:38:54.000,AFFAIR PREJUDICE,A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank,2006,2.99,Horror
15542,21,111,1,4,2,2006-02-14 15:16:03.000,,AFFAIR PREJUDICE,A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank,2006,2.99,Horror
