貸出ID, DVD ID,顧客ID,映画ID,貸出日時,タイトル,概要,公開年,レンタル代,カテゴリ名
361,6,587,1,2005-05-27 07:03:28.000,ACADEMY DINOSAUR,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,2006,0.99,Documentary
14624,4,344,1,2005-08-21 18:32:42.000,ACADEMY DINOSAUR,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,2006,0.99,Documentary
10883,4,301,1,2005-08-02 00:47:19.000,ACADEMY DINOSAUR,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,2006,0.99,Documentary
12651,8,34,1,2005-08-18 18:36:16.000,ACADEMY DINOSAUR,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,2006,0.99,Documentary
10141,8,8,1,2005-07-31 22:08:29.000,ACADEMY DINOSAUR,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,2006,0.99,Documentary
15421,3,541,1,2005-08-22 23:56:37.000,ACADEMY DINOSAUR,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,2006,0.99,Documentary
3201,6,597,1,2005-06-21 00:30:26.000,ACADEMY DINOSAUR,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,2006,0.99,Documentary
10126,3,39,1,2005-07-31 21:36:07.000,ACADEMY DINOSAUR,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,2006,0.99,Documentary
14714,1,279,1,2005-08-21 21:27:43.000,ACADEMY DINOSAUR,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,2006,0.99,Documentary
11433,1,518,1,2005-08-02 20:13:10.000,ACADEMY DINOSAUR,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,2006,0.99,Documentary
4863,1,431,1,2005-07-08 19:03:15.000,ACADEMY DINOSAUR,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,2006,0.99,Documentary
14798,7,92,1,2005-08-22 00:44:08.000,ACADEMY DINOSAUR,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,2006,0.99,Documentary
5766,7,406,1,2005-07-10 13:07:31.000,ACADEMY DINOSAUR,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,2006,0.99,Documentary
8510,7,487,1,2005-07-29 09:41:38.000,ACADEMY DINOSAUR,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,2006,0.99,Documentary
4187,2,161,1,2005-07-07 10:41:31.000,ACADEMY DINOSAUR,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,2006,0.99,Documentary
4390,6,44,1,2005-07-07 20:59:06.000,ACADEMY DINOSAUR,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,2006,0.99,Documentary
7168,6,252,1,2005-07-27 07:51:11.000,ACADEMY DINOSAUR,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,2006,0.99,Documentary
1210,7,345,1,2005-06-15 02:57:51.000,ACADEMY DINOSAUR,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,2006,0.99,Documentary
15453,2,359,1,2005-08-23 01:01:01.000,ACADEMY DINOSAUR,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,2006,0.99,Documentary
